ID,cluster
35275,1
35298,0
35384,3
35394,0
35447,1
35458,0
35466,0
35475,0
35494,0
35504,0
35556,0
35564,0
35578,0
35590,1
35616,1
35617,0
35620,1
35632,0
35641,1
35664,0
35699,1
35738,2
35753,0
35766,1
35800,0
35852,0
35869,1
35874,0
35876,0
35919,1
35945,1
35970,0
35972,0
35973,0
35988,0
35998,1
36040,0
36064,0
36072,0
36110,1
36115,0
36121,0
36122,0
36123,0
36133,1
36159,0
36179,0
36196,1
36211,0
36215,0
36234,0
36252,1
36257,0
36262,1
36265,0
36328,0
36386,0
36423,1
36433,0
36443,0
36463,1
36481,0
36503,0
36508,0
36563,0
36565,0
36573,1
36576,0
36630,0
36632,0
36633,1
36649,0
36686,0
36724,0
36741,0
36782,0
36806,0
36816,0
36818,0
36845,1
36860,0
36863,1
36877,0
36882,0
36886,1
36892,0
36923,3
36946,0
36949,1
36955,0
36969,0
36971,0
36977,0
36997,0
37004,0
37063,0
37064,0
37065,0
37074,0
37076,0
37082,0
37083,1
37091,0
37093,1
37095,0
37102,0
37140,0
37145,1
37146,0
37170,1
37181,0
37191,3
37199,0
37254,0
37267,0
37271,0
37288,0
37290,1
37303,0
37326,1
37349,1
37350,1
37373,0
37421,0
37433,0
37447,0
37502,0
37512,0
37545,0
37546,0
37547,0
37584,0
37586,3
37630,0
37637,0
37658,1
37664,0
37666,0
37685,0
37697,0
37699,0
37702,0
37704,3
37753,0
37756,0
37777,0
37813,0
37819,1
37820,0
37836,0
37841,1
37905,1
37924,1
37956,1
37973,0
37988,1
38003,3
38019,1
38031,1
38033,0
38036,1
38064,0
38081,0
38143,0
38234,1
38237,1
38283,0
38288,1
38321,1
38331,0
38359,0
38407,1
38448,1
38461,0
38484,0
38523,0
38544,0
38593,0
38611,0
38626,0
38668,1
38670,0
38679,0
38683,1
38698,3
38702,0
38718,0
38719,0
38759,0
38765,0
38769,0
38792,2
38795,1
38806,0
38838,0
38860,0
38865,0
38897,0
38908,1
38949,1
39031,0
39044,0
39084,0
39085,0
39108,0
39113,0
39166,0
39175,0
39199,0
39205,0
39245,0
39270,1
39281,0
39293,1
39294,0
39308,1
39316,3
39333,1
39358,0
39381,0
39415,1
39416,1
39429,3
39438,1
39444,0
39454,0
